,coefficient
tmxrc_Aggregator,-2.9761039880548332
tmxrc_ACC_EMAIL_LCL_AGE_GT_3MTHS,-1.395670864313165
tmxrc_ACC_LOGIN_SMART_ID_LCL_PAIR_AGE_GT_2MTHS,-1.3875441976067078
tmxrc_ACC_LOGIN_SMART_ID_LCL_PAIR_AGE_GT_MTH,-1.1347614531274743
tmxrc_SMART_ID_LCL_AGE_GT_3MTHS,-0.9430429489657608
tmxrc_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_GT_3MTHS,-0.7944672691624235
tmxrc_ACC_EMAIL_LCL_AGE_GT_MTH,-0.6779692443560891
tmxrc_AGENT_PUBLICKEY_HASH_LCL_AGE_GT_3MTHS,-0.6530482402016344
tmxrc_ACC_LOGIN_SMART_ID_LCL_PAIR_AGE_GT_2WKS,-0.5769438863998253
tmxrc_AGENT_PUBLICKEY_HASH_LCL_AGE_GT_MTH,-0.5477189896095369
tmxrc_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_GT_2MTHS,-0.5073907226346408
tmxrc_ACC_NAME_LCL_AGE_GT_3MTHS,-0.5011872625584011
tmxrc_ACC_EMAIL_SMART_ID_GBL_PAIR_AGE_GT_2MTHS,-0.3895817877248055
tmxrc_SMART_ID_LCL_AGE_GT_2WKS,-0.3635192527246075
tmxrc_DIG_ID_GBL_AGE_GT_3MTHS,-0.3611902786304824
tmxrc_DIG_ID_LCL_AGE_GT_3MTHS,-0.14234150235617152
tmxrc_DIG_ID_LCL_AGE_LT_DY,0.036951412034459924
tmxrc_AGENT_PUBLICKEY_HASH_LCL_AGE_LT_DY,0.08223574247515515
tmxrc_SMART_ID_GBL_AGE_LT_DY,0.20774842419654807
tmxrc_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_LT_DY,0.31238089263511093
tmxrc_ACC_LOGIN_EXACT_ID_LCL_PAIR_AGE_LT_DY,0.34395778349275147
tmxrc_ExactID_Vel_per_Hour_High,0.3537311096434589
tmxrc_ACC_LOGIN_LCL_AGE_LT_HR,0.4550734588561195
tmxrc_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_LT_HR,0.5586916000087906
tmxrc_ExactID_Dist_per_Hour_High,0.5979189346066521
tmxrc_Login_Dist_per_Day_High,0.6027701750922108
tmxrc_TZ_Geo_Mismatch,0.6158378103335985
tmxrc_Geo_Lang_Mismatch,0.7001675682561922
tmxrc_Rejected_TrueIP_Month,0.7239497554284859
tmxrc_Possible VPN or Tunnel,0.8081618871434604
tmxrc_ACC_LOGIN_SMART_ID_LCL_PAIR_LAST_TXN_1MIN,0.8088561131963482
tmxrc_Email_Dist_per_Hour_High,0.8121067760912968
tmxrc_Rejected_InputIP_Year,0.9217611501798583
tmxrc_Rejected_InputIP_Month,1.0256578397976202
tmxrc_Rejected_Email_Month,1.0805055851722396
tmxrc_ACC_NUM_SMART_ID_LCL_PAIR_LAST_TXN_15MIN,1.1337021472498363
tmxrc_TMX_email_persona_anomaly,1.1862585493355962
tmxrc_ACC_EMAIL_GBL_AGE_LT_DY,1.405069359541698
tmxrc_ACC_NUM_SMART_ID_LCL_PAIR_AGE_LT_DY,1.5963735784127278
tmxrc_Jailbreak_or_Root,1.6209004293062745
tmxrc_Proxy_Anonymous,1.632264438196864
sumrc_Level_1_Link_Reject,2.6708162310965338
tmxrc_Rejected_ExactID_Month,2.7608500387654216
tmxrc_PotentialVM_UA_Android_OS_Win,3.280498888065046
tmxrc_Phones_per_ExactID_Week_High,4.019669468395636
